meituan,ctrip,qunai,result
布丁酒店(南京夫子庙集庆门店),布丁酒店(南京夫子庙集庆门店),布丁酒店南京夫子庙集庆门店,yes
古都文化酒店(南京新街口店),古都文化商务旅馆(南京新街口店),如家联盟酒店南京古都文化新街口店,yes
如家酒店(南京汉中门地铁站市民广场虎踞南路店),如家快捷酒店(南京汉中门地铁站市民广场虎踞南路店),如家快捷酒店南京汉中门地铁站市民广场虎踞南路店,yes
格林豪泰快捷酒店(南京新街口地铁站店),格林豪泰(南京新街口地铁站店),格林豪泰酒店南京新街口地铁站店,yes
锦江之星(南京新街口朝天宫西街店),锦江之星(南京新街口朝天宫西街店),锦江之星酒店南京新街口朝天宫西街店,yes
如家酒店(南京新街口店),如家快捷酒店(南京新街口店),如家快捷酒店南京新街口店,yes
意酒店(南京奥体兴隆大街地铁站店),Q+意酒店(南京奥体中心兴隆大街地铁站店),Q+南京意酒店奥体中心兴隆大街地铁站店,yes
百时快捷酒店(南京新街口店),百时快捷酒店(南京新街口店),百时快捷酒店南京新街口店,yes
布丁酒店(南京夫子庙常府街地铁站店),布丁酒店(南京夫子庙常府街地铁站店),布丁酒店南京夫子庙常府街地铁站店,yes
如家酒店(南京夫子庙集庆门店),布丁酒店(南京夫子庙集庆门店),布丁酒店南京夫子庙集庆门店,yes
锦江之星(南京新街口店),锦江之星(南京新街口店),锦江之星酒店南京新街口店,yes
7天连锁酒店(南京夫子庙御道街店),7天连锁酒店(南京夫子庙御道街店),7天酒店南京夫子庙御道街店,yes
布丁酒店(南京鼓楼医院珠江路地铁站店),布丁酒店(南京珠江路地铁站店),布丁酒店南京鼓楼医院珠江路地铁站店,yes
7天连锁酒店(南京新街口上海路地铁站店),7天连锁酒店(南京上海路地铁站店),7天酒店南京新街口上海路地铁站店,yes
7天连锁酒店(南京夫子庙大光路店),7天连锁酒店(南京夫子庙大光路店),7天酒店南京夫子庙大光路店,yes
布丁酒店(南京夫子庙地铁站店),布丁酒店(南京夫子庙地铁站店),布丁酒店南京夫子庙地铁站店,yes
清沐连锁酒店(南京1912珠江路西大影壁店),清沐连锁酒店(南京1912珠江路西大影壁店),清沐连锁酒店南京1912珠江路西大影壁店,yes
清沐连锁酒店(南京新街口大洋百货丰富路店),清沐连锁酒店(南京新街口大洋百货丰富路店),清沐连锁酒店南京新街口大洋百货丰富路店,yes
如家酒店(新街口珠江路地铁站德基广场店),如家快捷酒店(南京新街口珠江路地铁站德基广场店),如家快捷酒店南京新街口珠江路地铁站德基广场店,yes
7天连锁酒店(南京新街口常府街地铁站店),7天连锁酒店(南京常府街地铁站店),7天酒店南京新街口常府街地铁站店,yes
速8酒店(南京中山陵景区西店),速8酒店(南京中山陵景区西店),速8酒店南京中山陵景区西店,yes
如家商旅(南京夫子庙通济门店),如家商旅酒店(南京夫子庙通济门店),如家商旅酒店南京夫子庙通济门店,yes
肯定精选酒店(新街口中心店),肯定连锁酒店(南京云锦路店),南京肯定连锁酒店万达金街店,yes
江苏天盛大酒店,江苏天盛大酒店,江苏天盛大酒店,yes
7天优品酒店(南京新街口地铁站店),7天优品酒店(南京新街口地铁站店),7天优品酒店南京新街口地铁站店,yes
清沐精品酒店(南京丹凤街店),清沐连锁酒店(南京丹凤街精品店),清沐精品酒店南京丹凤街店,yes
如家酒店(南京夫子庙三山街地铁站店),如家快捷酒店(南京夫子庙三山街地铁站店),如家快捷酒店南京夫子庙三山街地铁站店,yes
肯定之星连锁酒店(新街口店),肯定宾馆连锁(南京新街口二店),南京肯定连锁酒店洪武路店,yes
格林联盟酒店(南京鸡鸣寺地铁站东南大学店),格林豪泰(南京浮桥地铁站成贤街贝壳酒店),格林联盟南京浮桥地铁站成贤街店,yes
Zsmart智尚酒店南京夫子庙大光路店,Zsmart智尚酒店(南京夫子庙大光路店),Zsmart智尚酒店南京夫子庙大光路店,yes
莫泰酒店(南京新街口商业中心明瓦廊店),莫泰168(南京新街口商业中心明瓦廊店),莫泰连锁酒店南京新街口商业中心明瓦廊店,yes
山楂树快捷酒店(大行宫地铁站总统府店),山楂树快捷酒店(南京总统府店),南京山楂树快捷酒店,yes
时光机国际青年旅舍(王府大街新街口地铁站店),南京时光机国际青年旅舍,南京时光机国际青年旅舍,yes
如家酒店(南京新街口大行宫地铁站文昌巷店),如家快捷酒店(南京新街口大行宫地铁站文昌巷店),如家快捷酒店南京新街口大行宫地铁站文昌巷店,yes
汉庭(南京夫子庙中华门店),汉庭酒店(南京夫子庙中华门店),汉庭酒店南京夫子庙中华门店,yes
南京新街口苏宁诺富特酒店,南京新街口苏宁诺富特酒店,南京新街口苏宁诺富特酒店,yes
鹏程宾馆(夫子庙中心店),南京鹏程宾馆,南京鹏程宾馆,yes
7天连锁酒店(南京夫子庙常府街地铁站店),7天连锁酒店(南京夫子庙常府街地铁站店),7天酒店南京夫子庙常府街地铁站店,yes
南京三年二班国际青年旅舍,南京三年二班国际青年旅舍,南京三年二班国际青年旅舍,yes
7天连锁酒店(南京瑞金路店),7天连锁酒店(南京瑞金路店),7天酒店南京瑞金路店,yes
